date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:42	20855/20855	U-----	200	untouched ('OK')	text/html	etag:W/%225177-641b8332d3435%22	https://valoramericaneagle.com/	E:/Ihop/Valor2/valoramericaneagle.com/index.html	(from )
00:18:42	50/50	U--MCZ	200	updated ('OK')	text/plain	date:Sat,%2003%20Jan%202026%2005:18:42%20GMT	https://valoramericaneagle.com/robots.txt		(from )
00:19:17	15406/15406	U-----	200	untouched ('')	image/x-icon	etag:%2268f55750-3c2e%22	https://valoramericaneagle.com/assets/img/favicon.ico	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/favicon.ico	(from https://valoramericaneagle.com/)
00:19:17	19240/19240	U-----	200	untouched ('')	font/woff2	etag:%2268f55750-4b28%22	https://valoramericaneagle.com/assets/fonts/AmericanCaptain.woff2	E:/Ihop/Valor2/valoramericaneagle.com/assets/fonts/AmericanCaptain.woff2	(from https://valoramericaneagle.com/)
00:19:18	21924/21924	U-----	200	untouched ('')	application/javascript	etag:W/%2268f55759-55a4%22	https://valoramericaneagle.com/js/index.min.js?v=1760774053690	E:/Ihop/Valor2/valoramericaneagle.com/js/index.minb808.js	(from https://valoramericaneagle.com/)
00:19:18	26923/26923	U-----	200	untouched ('OK')	text/css	etag:W/%2268f55752-692b%22	https://valoramericaneagle.com/css/index.min.css?v=1760774053690	E:/Ihop/Valor2/valoramericaneagle.com/css/index.minb808.css	(from https://valoramericaneagle.com/)
00:19:53	6640/6640	U-----	200	untouched ('')	image/webp	etag:%2268f55750-19f0%22	https://valoramericaneagle.com/assets/img/logo.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/logo.webp	(from https://valoramericaneagle.com/)
00:19:53	74734/74734	U-----	200	untouched ('')	image/webp	etag:%2268f55750-123ee%22	https://valoramericaneagle.com/assets/img/hero/sky.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/sky.webp	(from https://valoramericaneagle.com/)
00:19:53	77890/77890	U-----	200	untouched ('')	image/webp	etag:%2268f55750-13042%22	https://valoramericaneagle.com/assets/img/hero/title.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/title.webp	(from https://valoramericaneagle.com/)
00:19:53	105452/105452	U-----	200	untouched ('')	image/webp	etag:%2268f55750-19bec%22	https://valoramericaneagle.com/assets/img/hero/eagle.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/eagle.webp	(from https://valoramericaneagle.com/)
00:19:54	107634/107634	U-----	200	untouched ('')	image/webp	etag:%2268f55750-1a472%22	https://valoramericaneagle.com/assets/img/hero/flag.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/flag.webp	(from https://valoramericaneagle.com/)
00:19:54	31662/31662	U-----	200	untouched ('')	image/webp	etag:%2268f55750-7bae%22	https://valoramericaneagle.com/assets/img/about/title.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/about/title.webp	(from https://valoramericaneagle.com/)
00:19:54	105696/105696	U-----	200	untouched ('')	image/webp	etag:%2268f55750-19ce0%22	https://valoramericaneagle.com/assets/img/about/01.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/about/01.webp	(from https://valoramericaneagle.com/)
