date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:16:53	50/50	---MCZ	200	added ('OK')	text/plain	date:Sat,%2003%20Jan%202026%2005:16:53%20GMT	https://valoramericaneagle.com/robots.txt		(from )
00:16:53	20855/20855	---MCZ	200	added ('OK')	text/html	etag:W/%225177-641b8332d3435%22	https://valoramericaneagle.com/	E:/Ihop/Valor2/valoramericaneagle.com/index.html	(from )
00:16:53	19240/19240	---M--	200	added ('OK')	font/woff2	etag:%2268f55750-4b28%22	https://valoramericaneagle.com/assets/fonts/AmericanCaptain.woff2	E:/Ihop/Valor2/valoramericaneagle.com/assets/fonts/AmericanCaptain.woff2	(from https://valoramericaneagle.com/)
00:16:54	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%2268f55750-3c2e%22	https://valoramericaneagle.com/assets/img/favicon.ico	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/favicon.ico	(from https://valoramericaneagle.com/)
00:16:54	21924/21924	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268f55759-55a4%22	https://valoramericaneagle.com/js/index.min.js?v=1760774053690	E:/Ihop/Valor2/valoramericaneagle.com/js/index.minb808.js	(from https://valoramericaneagle.com/)
00:16:54	26923/26923	---MCZ	200	added ('OK')	text/css	etag:W/%2268f55752-692b%22	https://valoramericaneagle.com/css/index.min.css?v=1760774053690	E:/Ihop/Valor2/valoramericaneagle.com/css/index.minb808.css	(from https://valoramericaneagle.com/)
00:16:54	6640/6640	---M--	200	added ('OK')	image/webp	etag:%2268f55750-19f0%22	https://valoramericaneagle.com/assets/img/logo.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/logo.webp	(from https://valoramericaneagle.com/)
00:16:55	74734/74734	---M--	200	added ('OK')	image/webp	etag:%2268f55750-123ee%22	https://valoramericaneagle.com/assets/img/hero/sky.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/sky.webp	(from https://valoramericaneagle.com/)
00:16:55	77890/77890	---M--	200	added ('OK')	image/webp	etag:%2268f55750-13042%22	https://valoramericaneagle.com/assets/img/hero/title.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/title.webp	(from https://valoramericaneagle.com/)
00:16:55	105452/105452	---M--	200	added ('OK')	image/webp	etag:%2268f55750-19bec%22	https://valoramericaneagle.com/assets/img/hero/eagle.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/eagle.webp	(from https://valoramericaneagle.com/)
00:16:56	107634/107634	---M--	200	added ('OK')	image/webp	etag:%2268f55750-1a472%22	https://valoramericaneagle.com/assets/img/hero/flag.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/hero/flag.webp	(from https://valoramericaneagle.com/)
00:16:56	31662/31662	---M--	200	added ('OK')	image/webp	etag:%2268f55750-7bae%22	https://valoramericaneagle.com/assets/img/about/title.webp	E:/Ihop/Valor2/valoramericaneagle.com/assets/img/about/title.webp	(from https://valoramericaneagle.com/)
